index	label
Cell_370	L2/3
Cell_371	CC
Cell_372	L6
Cell_373	L4
Cell_374	L4
Cell_375	L2/3
Cell_377	L4
Cell_378	HPC
Cell_379	L6
Cell_380	L4
Cell_381	L5
Cell_382	L5
Cell_383	L2/3
Cell_384	CC
Cell_385	L6
Cell_386	CC
Cell_387	L4
Cell_388	L1
Cell_389	L4
Cell_390	L4
Cell_391	L2/3
Cell_392	L1
Cell_393	L4
Cell_395	L2/3
Cell_396	L2/3
Cell_397	L5
Cell_398	HPC
Cell_399	L5
Cell_400	L2/3
Cell_401	L6
Cell_403	CC
Cell_404	L4
Cell_405	CC
Cell_406	L6
Cell_407	CC
Cell_408	L1
Cell_409	L2/3
Cell_410	L6
Cell_411	L6
Cell_412	HPC
Cell_413	L4
Cell_414	L6
Cell_415	L5
Cell_417	L2/3
Cell_418	L6
Cell_419	L2/3
Cell_420	HPC
Cell_421	L6
Cell_422	L2/3
Cell_423	L5
Cell_424	L6
Cell_425	L5
Cell_426	L5
Cell_428	L2/3
Cell_429	L2/3
Cell_430	L1
Cell_431	CC
Cell_433	L2/3
Cell_434	L6
Cell_435	L6
Cell_436	L4
Cell_437	L5
Cell_438	L4
Cell_439	L2/3
Cell_440	CC
Cell_441	L1
Cell_442	L6
Cell_443	L5
Cell_444	L2/3
Cell_446	L4
Cell_447	L4
Cell_448	L5
Cell_449	L6
Cell_450	L4
Cell_451	CC
Cell_452	L6
Cell_453	L4
Cell_454	L2/3
Cell_455	CC
Cell_456	L5
Cell_457	L2/3
Cell_458	L1
Cell_459	L1
Cell_460	L4
Cell_461	CC
Cell_462	L2/3
Cell_463	L2/3
Cell_464	CC
Cell_465	L2/3
Cell_466	CC
Cell_467	L1
Cell_468	CC
Cell_470	L2/3
Cell_471	CC
Cell_472	L6
Cell_473	L1
Cell_474	CC
Cell_476	L6
Cell_477	L5
Cell_478	L2/3
Cell_480	L4
Cell_481	L2/3
Cell_482	L6
Cell_483	HPC
Cell_484	L2/3
Cell_485	L6
Cell_486	L5
Cell_487	L4
Cell_488	L2/3
Cell_489	L1
Cell_493	L2/3
Cell_494	L2/3
Cell_495	CC
Cell_496	L4
Cell_497	L1
Cell_498	L5
Cell_500	L6
Cell_501	CC
Cell_503	L1
Cell_504	L6
Cell_505	L2/3
Cell_506	L5
Cell_507	L4
Cell_508	CC
Cell_509	L4
Cell_510	L6
Cell_511	L2/3
Cell_512	L6
Cell_514	L5
Cell_515	L1
Cell_516	L2/3
Cell_517	L5
Cell_518	CC
Cell_519	L2/3
Cell_520	L5
Cell_521	L4
Cell_522	CC
Cell_523	L1
Cell_524	L6
Cell_525	L6
Cell_527	L4
Cell_528	CC
Cell_529	L4
Cell_530	L4
Cell_531	L2/3
Cell_532	L2/3
Cell_534	L6
Cell_535	CC
Cell_536	L2/3
Cell_537	L1
Cell_538	CC
Cell_539	L5
Cell_540	L2/3
Cell_541	L6
Cell_542	L2/3
Cell_544	L2/3
Cell_545	HPC
Cell_547	L1
Cell_548	L6
Cell_549	L4
Cell_550	CC
Cell_551	L1
Cell_552	L4
Cell_553	L4
Cell_554	L2/3
Cell_555	L5
Cell_556	L4
Cell_557	L4
Cell_558	L4
Cell_559	L6
Cell_560	L4
Cell_561	L2/3
Cell_562	L2/3
Cell_563	L4
Cell_564	L2/3
Cell_565	L2/3
Cell_566	L5
Cell_567	L6
Cell_568	CC
Cell_569	L4
Cell_570	L6
Cell_571	L6
Cell_573	L4
Cell_575	L2/3
Cell_576	L2/3
Cell_577	L1
Cell_578	L6
Cell_580	L2/3
Cell_581	L6
Cell_582	L4
Cell_584	L2/3
Cell_585	L2/3
Cell_588	L4
Cell_589	L4
Cell_591	L5
Cell_592	L5
Cell_593	L5
Cell_594	L1
Cell_595	L4
Cell_596	L4
Cell_597	L6
Cell_599	L2/3
Cell_600	L1
Cell_601	L6
Cell_602	L5
Cell_603	L2/3
Cell_604	CC
Cell_605	L2/3
Cell_606	L1
Cell_607	L1
Cell_609	L1
Cell_610	L4
Cell_611	L4
Cell_612	L2/3
Cell_613	L2/3
Cell_614	L5
Cell_615	L6
Cell_616	L1
Cell_617	L4
Cell_618	L2/3
Cell_619	L6
Cell_620	L5
Cell_621	L6
Cell_622	L4
Cell_623	L2/3
Cell_625	L2/3
Cell_626	L1
Cell_627	L4
Cell_628	L4
Cell_629	L5
Cell_630	L5
Cell_631	CC
Cell_632	L2/3
Cell_633	L5
Cell_634	CC
Cell_635	L6
Cell_637	L5
Cell_638	L5
Cell_639	L2/3
Cell_640	L1
Cell_642	L2/3
Cell_643	L2/3
Cell_644	L4
Cell_646	L2/3
Cell_647	HPC
Cell_648	L4
Cell_649	L2/3
Cell_651	L6
Cell_652	CC
Cell_653	L4
Cell_654	L1
Cell_655	CC
Cell_656	HPC
Cell_657	HPC
Cell_658	HPC
Cell_659	CC
Cell_661	L2/3
Cell_662	L2/3
Cell_663	L6
Cell_664	L2/3
Cell_665	L5
Cell_666	L6
Cell_667	L2/3
Cell_668	L2/3
Cell_670	CC
Cell_671	L2/3
Cell_672	L1
Cell_673	CC
Cell_674	HPC
Cell_675	L1
Cell_677	L6
Cell_678	L2/3
Cell_679	L4
Cell_680	CC
Cell_681	L6
Cell_682	L4
Cell_683	L4
Cell_684	L2/3
Cell_685	L1
Cell_686	L4
Cell_687	CC
Cell_688	L4
Cell_689	HPC
Cell_690	CC
Cell_691	L5
Cell_692	L5
Cell_693	L6
Cell_694	L4
Cell_695	CC
Cell_696	L6
Cell_697	L1
Cell_698	L6
Cell_699	L1
Cell_700	CC
Cell_701	L5
Cell_702	L4
Cell_703	HPC
Cell_705	L4
Cell_706	L2/3
Cell_709	L2/3
Cell_710	L6
Cell_711	L4
Cell_712	L1
Cell_714	L6
Cell_715	CC
Cell_716	CC
Cell_717	L4
Cell_720	L6
Cell_721	CC
Cell_723	L4
Cell_724	L5
Cell_726	L6
Cell_727	L6
Cell_729	L6
Cell_731	CC
Cell_733	L4
Cell_736	L6
Cell_738	L1
Cell_739	CC
Cell_740	L4
Cell_741	L1
Cell_742	L6
Cell_743	L4
Cell_744	CC
Cell_745	L6
Cell_746	L4
Cell_747	L5
Cell_748	L5
Cell_749	CC
Cell_750	L4
Cell_751	L1
Cell_752	CC
Cell_753	L2/3
Cell_754	L5
Cell_755	L4
Cell_756	CC
Cell_758	L5
Cell_759	L6
Cell_762	L2/3
Cell_763	L4
Cell_764	CC
Cell_765	L4
Cell_766	L6
Cell_768	L4
Cell_769	L2/3
Cell_770	L5
Cell_771	L5
Cell_772	L4
Cell_773	L4
Cell_775	L4
Cell_776	L6
Cell_777	L5
Cell_778	L2/3
Cell_779	L2/3
Cell_780	L1
Cell_781	L5
Cell_782	L6
Cell_783	HPC
Cell_785	L5
Cell_786	CC
Cell_787	L6
Cell_788	L6
Cell_789	HPC
Cell_790	L4
Cell_791	L2/3
Cell_792	L1
Cell_793	L5
Cell_794	CC
Cell_796	L4
Cell_798	L1
Cell_799	L2/3
Cell_800	L5
Cell_801	L2/3
Cell_802	CC
Cell_803	L6
Cell_804	L5
Cell_805	L4
Cell_806	L6
Cell_807	L4
Cell_808	L4
Cell_809	L4
Cell_810	L4
Cell_811	L5
Cell_812	L4
Cell_813	L5
Cell_814	L2/3
Cell_815	HPC
Cell_816	L6
Cell_817	L6
Cell_818	L5
Cell_819	L4
Cell_820	CC
Cell_821	L5
Cell_822	L1
Cell_823	L2/3
Cell_824	CC
Cell_825	CC
Cell_826	HPC
Cell_827	CC
Cell_828	L4
Cell_829	L6
Cell_830	L4
Cell_831	L2/3
Cell_833	L5
Cell_834	L1
Cell_836	CC
Cell_837	L6
Cell_838	L6
Cell_839	L2/3
Cell_841	L2/3
Cell_842	L1
Cell_843	CC
Cell_844	L6
Cell_845	L5
Cell_846	L4
Cell_847	HPC
Cell_848	L2/3
Cell_849	L5
Cell_851	L5
Cell_852	L1
Cell_853	L6
Cell_854	L5
Cell_855	L4
Cell_856	L6
Cell_857	L4
Cell_858	L1
Cell_859	HPC
Cell_860	L2/3
Cell_861	L4
Cell_862	L4
Cell_864	L6
Cell_865	HPC
Cell_866	L6
Cell_867	L4
Cell_868	L6
Cell_869	L1
Cell_870	L2/3
Cell_871	L2/3
Cell_872	HPC
Cell_873	L5
Cell_874	L2/3
Cell_875	CC
Cell_876	L4
Cell_877	L2/3
Cell_878	HPC
Cell_879	L6
Cell_880	L5
Cell_881	L4
Cell_882	L5
Cell_883	L4
Cell_884	L2/3
Cell_885	CC
Cell_887	L2/3
Cell_888	L4
Cell_889	HPC
Cell_890	L4
Cell_891	L5
Cell_892	L4
Cell_893	L2/3
Cell_894	CC
Cell_895	L4
Cell_896	L4
Cell_898	L6
Cell_899	L5
Cell_900	L1
Cell_901	CC
Cell_902	CC
Cell_903	CC
Cell_904	L5
Cell_905	L6
Cell_906	L6
Cell_907	L6
Cell_908	L5
Cell_909	L2/3
Cell_910	L2/3
Cell_911	L4
Cell_912	L4
Cell_913	L2/3
Cell_914	CC
Cell_915	L5
Cell_916	L6
Cell_917	L2/3
Cell_918	L4
Cell_919	L2/3
Cell_922	L2/3
Cell_923	L5
Cell_924	L2/3
Cell_925	L4
Cell_926	L4
Cell_927	L1
Cell_928	L5
Cell_929	L4
Cell_931	L5
Cell_932	CC
Cell_933	L2/3
Cell_934	L4
Cell_935	CC
Cell_936	L2/3
Cell_937	HPC
Cell_938	L2/3
Cell_939	L2/3
Cell_940	L2/3
Cell_941	L6
Cell_942	L5
Cell_943	L4
Cell_944	L6
Cell_945	L5
Cell_946	L4
Cell_947	L1
Cell_948	L2/3
Cell_949	L6
Cell_950	L1
Cell_951	L2/3
Cell_952	CC
Cell_953	L2/3
Cell_954	L6
Cell_955	L6
Cell_956	L5
Cell_957	L4
Cell_958	HPC
Cell_959	L4
Cell_960	L4
Cell_961	L4
Cell_962	L4
Cell_963	L6
Cell_964	L2/3
Cell_966	L2/3
Cell_968	CC
Cell_969	L5
Cell_970	L6
Cell_971	L5
Cell_972	L1
Cell_973	L5
Cell_974	L2/3
Cell_975	CC
Cell_976	L5
Cell_977	CC
Cell_978	L6
Cell_979	CC
Cell_980	CC
Cell_981	CC
Cell_982	L4
Cell_983	L1
Cell_984	HPC
Cell_985	L4
Cell_986	HPC
Cell_987	L4
Cell_988	L1
Cell_989	L6
Cell_990	L5
Cell_991	HPC
Cell_992	L6
Cell_993	L2/3
Cell_994	L6
Cell_995	L4
Cell_996	L5
Cell_997	L2/3
Cell_999	L6
Cell_1000	L6
Cell_1001	CC
Cell_1002	L2/3
Cell_1003	L2/3
Cell_1004	L6
Cell_1005	L4
Cell_1006	L6
Cell_1007	L4
Cell_1008	HPC
Cell_1009	L2/3
Cell_1010	L4
Cell_1011	L4
Cell_1012	CC
Cell_1013	L4
Cell_1014	L2/3
Cell_1015	L1
Cell_1016	L2/3
Cell_1018	L5
Cell_1019	L1
Cell_1020	L5
Cell_1021	L2/3
Cell_1022	CC
Cell_1023	L2/3
Cell_1024	L6
Cell_1025	L2/3
Cell_1026	L4
Cell_1027	L5
Cell_1028	L2/3
Cell_1029	L5
Cell_1030	L5
Cell_1031	L5
Cell_1032	L5
Cell_1033	L4
Cell_1034	L4
Cell_1035	L2/3
Cell_1036	L6
Cell_1037	L2/3
Cell_1038	L2/3
Cell_1039	L2/3
Cell_1040	HPC
Cell_1041	CC
Cell_1042	L4
Cell_1043	L4
Cell_1044	L2/3
Cell_1045	HPC
Cell_1046	L4
Cell_1047	L6
Cell_1048	L4
Cell_1049	L4
Cell_1050	L2/3
Cell_1051	L6
Cell_1052	L5
Cell_1053	L4
Cell_1054	L6
Cell_1055	L1
Cell_1056	L6
Cell_1057	HPC
Cell_1058	L2/3
Cell_1059	L5
Cell_1060	L6
Cell_1062	HPC
Cell_1063	CC
Cell_1064	L1
Cell_1065	L2/3
Cell_1066	L2/3
Cell_1067	HPC
Cell_1068	L6
Cell_1069	CC
Cell_1070	L5
Cell_1071	L2/3
Cell_1072	CC
Cell_1073	L6
Cell_1074	L4
Cell_1075	L6
Cell_1076	L4
Cell_1077	L6
Cell_1079	L5
Cell_1080	L4
Cell_1081	L2/3
Cell_1084	L6
Cell_1085	L4
Cell_1087	L2/3
Cell_1088	CC
Cell_1090	L6
Cell_1091	L2/3
Cell_1092	L5
Cell_1093	L5
Cell_1094	L6
Cell_1095	L4
Cell_1096	L6
Cell_1097	CC
Cell_1098	L6
Cell_1099	L4
Cell_1100	L4
Cell_1101	L2/3
Cell_1102	L2/3
Cell_1103	CC
Cell_1104	L6
Cell_1105	L2/3
Cell_1106	L5
Cell_1107	L2/3
Cell_1108	L6
Cell_1109	L5
Cell_1110	L2/3
Cell_1111	L5
Cell_1113	CC
Cell_1114	L2/3
Cell_1115	L4
Cell_1116	L6
Cell_1117	L2/3
Cell_1118	L2/3
Cell_1119	L6
Cell_1120	L4
Cell_1121	CC
Cell_1122	L6
Cell_1123	L4
Cell_1124	HPC
Cell_1125	L1
Cell_1126	HPC
Cell_1128	L2/3
Cell_1129	L4
Cell_1130	L4
Cell_1132	HPC
Cell_1133	L5
Cell_1134	L6
Cell_1135	L6
Cell_1136	CC
Cell_1137	L4
Cell_1138	L6
Cell_1140	L2/3
Cell_1142	L4
Cell_1143	L2/3
Cell_1145	L4
Cell_1146	L2/3
Cell_1147	CC
Cell_1148	L5
Cell_1149	L2/3
Cell_1150	L4
Cell_1152	L6
Cell_1153	L4
Cell_1154	L5
Cell_1155	HPC
Cell_1156	L2/3
Cell_1157	L2/3
Cell_1158	CC
Cell_1159	L6
Cell_1160	L5
Cell_1162	HPC
Cell_1163	L4
Cell_1164	L2/3
Cell_1165	L5
Cell_1166	L4
Cell_1168	L4
Cell_1169	CC
Cell_1170	L4
Cell_1172	L2/3
Cell_1174	CC
Cell_1175	L5
Cell_1177	L4
Cell_1178	CC
Cell_1179	CC
Cell_1181	L6
Cell_1182	L4
Cell_1183	L2/3
Cell_1184	L6
Cell_1185	HPC
Cell_1186	L5
Cell_1187	L2/3
Cell_1188	L2/3
Cell_1189	L6
Cell_1190	L4
Cell_1191	L2/3
Cell_1192	L6
Cell_1193	L2/3
Cell_1194	L1
Cell_1195	CC
Cell_1196	L2/3
Cell_1198	L6
Cell_1200	L2/3
Cell_1201	L6
Cell_1202	L2/3
Cell_1203	L2/3
Cell_1204	CC
Cell_1205	L2/3
Cell_1206	L4
Cell_1207	L4
Cell_1208	L6
Cell_1210	L4
Cell_1212	HPC
Cell_1213	L2/3
Cell_1214	L4
Cell_1215	L4
Cell_1216	L1
Cell_1217	L2/3
Cell_1218	HPC
Cell_1219	CC
Cell_1220	L4
Cell_1221	L6
Cell_1222	L2/3
Cell_1223	L2/3
Cell_1224	L4
Cell_1225	CC
Cell_1227	L5
Cell_1228	CC
Cell_1229	L6
Cell_1230	L4
Cell_1231	L5
Cell_1232	L2/3
Cell_1233	L2/3
Cell_1234	CC
Cell_1235	L5
Cell_1236	HPC
Cell_1237	L6
Cell_1238	L4
Cell_1239	HPC
Cell_1240	L6
Cell_1241	L6
Cell_1242	L1
Cell_1243	L6
Cell_1244	L5
Cell_1245	L1
Cell_1246	L2/3
Cell_1247	L6
Cell_1248	L6
Cell_1251	L4
Cell_1252	L1
Cell_1253	L4
Cell_1254	CC
Cell_1255	L5
Cell_1256	L2/3
Cell_1257	CC
Cell_1258	L1
Cell_1259	L6
Cell_1260	L6
Cell_1261	L5
Cell_1262	L2/3
Cell_1263	HPC
Cell_1264	L4
Cell_1265	L2/3
Cell_1266	CC
Cell_1267	L2/3
Cell_1268	L1
Cell_1269	L2/3
Cell_1270	L6
Cell_1271	CC
Cell_1272	L2/3
Cell_1273	L2/3
Cell_1274	L4
Cell_1275	L4
Cell_1276	L2/3
Cell_1277	L2/3
Cell_1278	CC
Cell_1279	CC
Cell_1280	L4
Cell_1281	L1
Cell_1282	HPC
Cell_1283	L6
Cell_1284	L4
Cell_1285	L1
Cell_1286	L1
Cell_1287	L1
Cell_1288	L6
Cell_1289	L6
Cell_1290	CC
Cell_1291	L4
Cell_1292	CC
Cell_1293	L4
Cell_1294	L6
Cell_1295	L2/3
Cell_1297	L6
Cell_1299	L6
Cell_1300	L4
Cell_1301	L1
Cell_1302	L1
Cell_1303	CC
Cell_1304	L5
Cell_1305	L5
Cell_1306	L2/3
Cell_1307	CC
Cell_1308	L5
Cell_1309	CC
Cell_1310	L5
Cell_1311	L1
Cell_1312	L6
Cell_1314	L5
Cell_1316	L1
Cell_1317	CC
Cell_1318	L6
Cell_1319	CC
Cell_1320	CC
Cell_1321	L2/3
Cell_1322	HPC
Cell_1323	CC
Cell_1324	L4
Cell_1325	L5
Cell_1326	L4
Cell_1327	L2/3
Cell_1329	L6
Cell_1330	L6
Cell_1331	L5
Cell_1332	L2/3
Cell_1333	CC
Cell_1334	L4
Cell_1335	L2/3
Cell_1336	L5
Cell_1337	L2/3
Cell_1338	L2/3
Cell_1340	L1
Cell_1342	L4
Cell_1346	L5
Cell_1347	CC
Cell_1348	L2/3
Cell_1349	L2/3
Cell_1350	L2/3
Cell_1351	L2/3
Cell_1352	HPC
Cell_1353	L5
Cell_1354	L4
Cell_1355	L5
Cell_1356	L6
Cell_1357	L4
Cell_1358	L2/3
Cell_1359	L2/3
Cell_1360	HPC
Cell_1361	L6
Cell_1362	L2/3
Cell_1363	HPC
Cell_1364	L6
Cell_1365	L5
Cell_1366	L1
Cell_1368	L4
Cell_1369	L1
Cell_1370	CC
Cell_1371	CC
Cell_1373	CC
Cell_1375	L4
Cell_1377	CC
Cell_1378	L5
Cell_1379	L4
Cell_1380	L6
Cell_1381	L2/3
Cell_1382	L6
Cell_1383	L6
Cell_1385	L2/3
Cell_1387	L1
Cell_1390	L2/3
